ID	Idx	WordID	State	Type	Name	MemoID	Codes	ActiveCodes	Author	Date	Variable	CatVariable	DocID	Alias	GeoLinkID	FgCodingsCount	FgCodedCharsCount	Color	LastChgUser	LastChgDate
1	0	3	1	0	Forscher-Ich	0	97		anonymous	2018-01-18T12:53:15.295	0	0	0		0	0	0	4278190335	anonymous	2018-03-29T09:05:30.950
2	0	1	1	0	Forscher-Ich*	0	268		anonymous	2018-01-18T12:53:49.166	0	0	0		0	0	0	4278190335	anonymous	2018-02-21T16:20:31.253
3	0	0	1	0	Schreiber-Ich	0	19		anonymous	2018-01-18T12:54:15.040	0	0	0		0	0	0	4278190335	anonymous	2018-02-21T14:45:27.486
4	2	3	1	0	Verfasser-Ich	0	286		anonymous	2018-01-18T12:54:30.794	0	0	0		0	0	0	4278190335	anonymous	2018-02-21T16:23:28.634
5	0	4	1	0	Verfasser-Ich*	0	66		anonymous	2018-01-18T12:54:43.243	0	0	0		0	0	0	4278190335	anonymous	2018-02-21T16:22:45.113
6	1	3	1	0	Erzähler-Ich	0	63		anonymous	2018-01-18T12:54:55.041	0	0	0		0	0	0	4278190335	anonymous	2018-02-21T16:24:12.711
7	0	6	0	0	Erzähler-Ich*	0	152		anonymous	2018-01-18T12:55:04.096	0	0	0		0	0	0	4278190335	anonymous	2018-02-21T16:24:15.817
8	1	9	1	0	SB-Ich	0	357		anonymous	2018-01-18T12:55:48.315	0	0	0		0	0	0	4294934528	anonymous	2018-02-21T16:23:37.905
9	2	0	1	0	SB	0	0		anonymous	2018-01-18T12:56:28.925	0	0	0		0	0	0	4294934528	anonymous	2018-01-18T15:40:53.757
10	0	9	1	0	"SB thematisiert ""Ich"""	0	15		anonymous	2018-01-18T12:56:45.802	0	0	0		0	0	0	4294934528	anonymous	2018-02-16T15:40:08.979
11	1	0	1	0	Sonstige	0	4		anonymous	2018-01-18T12:57:27.289	0	0	0		0	0	0	4278255360	anonymous	2018-01-31T17:50:11.509
12	0	13	1	0	"""Ich"" in Beispielen,Zitaten etc"	0	1332		anonymous	2018-01-18T12:57:54.522	0	0	0		0	0	0	4278255360	anonymous	2018-02-21T16:23:33.025
13	1	11	1	0	"""Ich"" stellvertr. für Allgemeinheit"	0	31		anonymous	2018-01-18T13:00:00.299	0	0	0		0	0	0	4278255360	anonymous	2018-02-21T15:27:40.020
14	0	11	1	0	Eid	0	43		anonymous	2018-01-18T13:00:10.769	0	0	0		0	0	0	4278255360	anonymous	2018-02-21T15:43:01.356
