ID	TAID	Type	TextID	WordID	StartChar	FinishChar	StartPara	FinishPara	Weight	Preview	Text	Author	Date	CommentL	GroupID	PosX1	PosX2	Page	IsText	Area	Coverage	TooltipVars	Memos	SegType	SegPosType	SegPos1StdUnit	SegPos1X	SegPos1Y	SegPos1Z	SegPos1W	SegPos1U	SegPos1V	SegPos2StdUnit	SegPos2X	SegPos2Y	SegPos2Z	SegPos2W	SegPos2U	SegPos2V	ContentFlag	GeoLinkID	MemoID	LastChgUser	LastChgDate
1	1	0	2	4					0	ich	BLOB	anonymous	2018-01-18T18:41:08.023		0					3	0.0463034418891804		BLOB	0	1	6	1659	0	0	6	0	0	6	1662	0	0	6	0	0	0	0	0	anonymous	2018-03-27T09:35:36.946
2	2	0	2	4					0	ich	BLOB	anonymous	2018-01-18T18:41:45.522		0					3	0.0463034418891804		BLOB	0	1	8	2412	0	0	8	0	0	8	2415	0	0	8	0	0	0	0	0	anonymous	2018-03-27T09:35:36.949
3	3	0	2	4					0	ich	BLOB	anonymous	2018-01-18T18:42:25.539		0					3	0.0463034418891804		BLOB	0	1	14	3889	0	0	14	0	0	14	3892	0	0	14	0	0	0	0	0	anonymous	2018-03-27T09:35:36.952
4	4	0	2	4					0	ich	BLOB	anonymous	2018-01-18T18:44:48.268		0					3	0.0463034418891804		BLOB	0	1	16	4730	0	0	16	0	0	16	4733	0	0	16	0	0	0	0	0	anonymous	2018-03-27T09:35:36.955
5	5	0	2	4					0	ich	BLOB	anonymous	2018-01-18T18:46:07.551		0					3	0.0463034418891804		BLOB	0	1	18	5596	0	0	18	0	0	18	5599	0	0	18	0	0	0	0	0	anonymous	2018-03-27T09:35:36.958
6	6	0	3	8					0	ich	BLOB	anonymous	2018-01-18T18:47:20.021		0					3	0.185528756957328		BLOB	0	1	2	32	0	0	2	0	0	2	35	0	0	2	0	0	0	0	0	anonymous	2018-03-27T09:35:36.975
7	7	0	3	8					0	Ich	BLOB	anonymous	2018-01-18T18:47:58.338		0					3	0.185528756957328		BLOB	0	1	2	104	0	0	2	0	0	2	107	0	0	2	0	0	0	0	0	anonymous	2018-03-27T09:35:36.978
8	8	0	3	8					0	Ich	BLOB	anonymous	2018-01-18T18:48:10.516		0					3	0.185528756957328		BLOB	0	1	2	167	0	0	2	0	0	2	170	0	0	2	0	0	0	0	0	anonymous	2018-03-27T09:35:36.982
9	9	0	3	8					0	ich	BLOB	anonymous	2018-01-18T18:48:20.897		0					3	0.185528756957328		BLOB	0	1	2	192	0	0	2	0	0	2	195	0	0	2	0	0	0	0	0	anonymous	2018-03-27T09:35:36.985
10	10	0	3	8					0	Ich	BLOB	anonymous	2018-01-18T18:48:29.963		0					3	0.185528756957328		BLOB	0	1	2	336	0	0	2	0	0	2	339	0	0	2	0	0	0	0	0	anonymous	2018-03-27T09:35:36.989
11	11	0	9	13					0	ich	BLOB	anonymous	2018-01-18T18:50:27.996		0					3	0.100133511348465		BLOB	0	1	9	504	0	0	9	0	0	9	507	0	0	9	0	0	0	0	0	anonymous	2018-03-27T09:35:37.018
12	12	0	9	13					0	ich	BLOB	anonymous	2018-01-18T18:50:38.514		0					3	0.100133511348465		BLOB	0	1	9	540	0	0	9	0	0	9	543	0	0	9	0	0	0	0	0	anonymous	2018-03-27T09:35:37.021
13	13	0	9	6					0	ich	BLOB	anonymous	2018-01-18T18:51:08.489		0					3	0.100133511348465		BLOB	0	1	26	1149	0	0	26	0	0	26	1152	0	0	26	0	0	0	0	0	anonymous	2018-03-27T09:35:37.024
14	14	0	9	6					0	Ich	BLOB	anonymous	2018-01-18T18:51:15.310		0					3	0.100133511348465		BLOB	0	1	27	1178	0	0	27	0	0	27	1181	0	0	27	0	0	0	0	0	anonymous	2018-03-27T09:35:37.027
15	15	0	9	6					0	ich	BLOB	anonymous	2018-01-18T18:51:39.712		0					3	0.100133511348465		BLOB	0	1	31	1296	0	0	31	0	0	31	1299	0	0	31	0	0	0	0	0	anonymous	2018-03-27T09:35:37.029
16	16	0	9	6					0	ich	BLOB	anonymous	2018-01-18T18:51:50.013		0					3	0.100133511348465		BLOB	0	1	31	1319	0	0	31	0	0	31	1322	0	0	31	0	0	0	0	0	anonymous	2018-03-27T09:35:37.031
17	17	0	10	5					0	ich	BLOB	anonymous	2018-01-18T18:53:55.929		0					3	0.0106160869103648		BLOB	0	1	23	3150	0	0	23	0	0	23	3153	0	0	23	0	0	0	0	0	anonymous	2018-03-27T09:35:37.076
18	18	0	10	8					0	ich	BLOB	anonymous	2018-01-18T18:55:19.244		0					3	0.0106160869103648		BLOB	0	1	115	27934	0	0	115	0	0	115	27937	0	0	115	0	0	0	0	0	anonymous	2018-03-27T09:35:37.079
19	19	0	11	6					0	Ich	BLOB	anonymous	2018-01-18T18:56:19.391		0					3	0.00643970291503885		BLOB	0	1	3	454	0	0	3	0	0	3	457	0	0	3	0	0	0	0	0	anonymous	2018-03-27T09:35:37.148
20	20	0	11	1					0	ich	BLOB	anonymous	2018-01-18T18:56:38.240		0					3	0.00643970291503885		BLOB	0	1	3	798	0	0	3	0	0	3	801	0	0	3	0	0	0	0	0	anonymous	2018-03-27T09:35:37.151
21	21	0	11	6					0	Ich	BLOB	anonymous	2018-01-18T18:56:54.388		0					3	0.00643970291503885		BLOB	0	1	3	855	0	0	3	0	0	3	858	0	0	3	0	0	0	0	0	anonymous	2018-03-27T09:35:37.153
22	22	0	14	7					0	ich	BLOB	anonymous	2018-01-18T18:59:15.937		0					3	0.00201614258160337		BLOB	0	1	107	10719	0	0	107	0	0	107	10722	0	0	107	0	0	0	0	0	anonymous	2018-03-27T09:35:37.350
24	24	0	14	7					0	ich	BLOB	anonymous	2018-01-18T19:05:48.623		0					3	0.00201614258160337		BLOB	0	1	139	22320	0	0	139	0	0	139	22323	0	0	139	0	0	0	0	0	anonymous	2018-03-27T09:35:37.353
25	25	0	14	7					0	ich	BLOB	anonymous	2018-01-18T19:05:57.305		0					3	0.00201614258160337		BLOB	0	1	139	22347	0	0	139	0	0	139	22350	0	0	139	0	0	0	0	0	anonymous	2018-03-27T09:35:37.356
27	27	0	14	13					0	ich	BLOB	anonymous	2018-01-22T21:15:01.637		0					3	0.00201614258160337		BLOB	0	1	170	33381	0	0	170	0	0	170	33384	0	0	170	0	0	0	0	0	anonymous	2018-03-27T09:35:37.359
28	28	0	14	13					0	ich	BLOB	anonymous	2018-01-22T21:15:25.990		0					3	0.00201614258160337		BLOB	0	1	170	33577	0	0	170	0	0	170	33580	0	0	170	0	0	0	0	0	anonymous	2018-03-27T09:35:37.363
29	29	0	14	5					0	ich	BLOB	anonymous	2018-01-22T21:17:19.960		0					3	0.00201614258160337		BLOB	0	1	170	33903	0	0	170	0	0	170	33906	0	0	170	0	0	0	0	0	anonymous	2018-03-27T09:35:37.365
30	30	0	14	7					0	ich	BLOB	anonymous	2018-01-22T21:19:08.609		0					3	0.00201614258160337		BLOB	0	1	177	36392	0	0	177	0	0	177	36395	0	0	177	0	0	0	0	0	anonymous	2018-03-27T09:35:37.368
31	31	0	14	7					0	ich	BLOB	anonymous	2018-01-22T21:19:35.969		0					3	0.00201614258160337		BLOB	0	1	177	36473	0	0	177	0	0	177	36476	0	0	177	0	0	0	0	0	anonymous	2018-03-27T09:35:37.370
33	33	0	14	7					0	ich	BLOB	anonymous	2018-01-22T21:24:24.935	Mix von Erzähler und Verfasser	0					3	0.00201614258160337		BLOB	0	1	283	59767	0	0	283	0	0	283	59770	0	0	283	0	0	0	0	0	anonymous	2018-03-27T09:35:37.372
34	34	0	14	14					0	ich	BLOB	anonymous	2018-01-22T21:24:45.722		0					3	0.00201614258160337		BLOB	0	1	692	148168	0	0	692	0	0	692	148171	0	0	692	0	0	0	0	0	anonymous	2018-03-27T09:35:37.375
35	35	0	15	8					0	ich	BLOB	anonymous	2018-01-22T21:28:16.492		0					3	0.0450180072028812		BLOB	0	1	23	1482	0	0	23	0	0	23	1485	0	0	23	0	0	0	0	0	anonymous	2018-03-27T09:35:37.411
