ID	Idx	GroupID	State	Type	Text	Name	Date	Codes	Memos	MemoID	Author	Size	DocType	MediaFileX	ScaleFactor	CodesWndWidth	ScrollPosPage	ScrollPosX	ScrollPosY	SelPage	SelX1	SelY1	SelX2	SelY2	ExtLink1	ExtLink2	ExtLink3	RIS-TY	RIS-AU	RIS-TI	RIS-ID	RIS-PY	Data	CodTemp	Data2	PlainTextWin	PlainTextMac	GeoLinkID	Color	LastChgUser	LastChgDate
1	10	1	1	0	BLOB	Abstract Poster_16-07-18_26-12-57_WB06	2018-01-18T12:05:06.050	0	0	0	anonymous	3387	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-28T07:57:32.330
2	276	0	1	0	BLOB	ABSTRACT_12-01-23_25-16-14_WB06	2018-01-18T12:05:20.150	5	0	0	anonymous	12094	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:36.941
3	277	0	1	0	BLOB	Abstract_15-10-22_12-10-45_WB06	2018-01-18T12:05:20.552	5	0	0	anonymous	2148	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:36.973
4	278	0	1	0	BLOB	Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14	2018-01-18T12:05:21.092	0	0	0	anonymous	274950	0		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:28.817
5	279	0	1	0	BLOB	Arbeitspapier_12-05-30_31-23-46	2018-01-18T12:05:21.619	0	0	0	anonymous	14352	0		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:28.847
6	280	0	1	0	BLOB	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	2018-01-18T12:05:22.122	0	0	0	anonymous	137521	0		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:28.877
7	281	0	1	0	BLOB	Aufgabe-Einleitung_12-09-29_11-13-38	2018-01-18T12:05:22.229	0	0	0	anonymous	1129206	1		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-01-18T18:33:59.954
8	282	0	1	0	BLOB	Aufgabe-Schreibberatung_13-04-08_21-02-74	2018-01-18T12:05:22.311	0	0	0	anonymous	1035569	1		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-01-18T18:34:01.101
9	283	0	1	0	BLOB	Aufgaben-Portofolio_15-01-29_21-02-74_SB01	2018-01-18T12:05:22.794	6	0	0	anonymous	12984	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:37.014
10	284	0	1	0	BLOB	BA_13-06-09_26-06-32_SB03	2018-01-18T12:05:23.202	2	0	0	anonymous	36251	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:37.054
