	ID	Text	Text_korr	Span	StartChar	EndChar	Code-annotator1	Code-annotator2	Code-annotator3	Code-annotator4
ABSTRACT_12-01-23_25-16-14_WB06+1659	6.0	ABSTRACT_12-01-23_25-16-14_WB06	12-01-23_ABSTRACT_25-16-14_WB06.txt	ich	1659	1662	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich
ABSTRACT_12-01-23_25-16-14_WB06+2412	7.0	ABSTRACT_12-01-23_25-16-14_WB06	12-01-23_ABSTRACT_25-16-14_WB06.txt	ich	2412	2415	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich
ABSTRACT_12-01-23_25-16-14_WB06+3889	8.0	ABSTRACT_12-01-23_25-16-14_WB06	12-01-23_ABSTRACT_25-16-14_WB06.txt	ich	3889	3892	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich
ABSTRACT_12-01-23_25-16-14_WB06+4730	9.0	ABSTRACT_12-01-23_25-16-14_WB06	12-01-23_ABSTRACT_25-16-14_WB06.txt	ich	4730	4733	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich
ABSTRACT_12-01-23_25-16-14_WB06+5596	10.0	ABSTRACT_12-01-23_25-16-14_WB06	12-01-23_ABSTRACT_25-16-14_WB06.txt	ich	5596	5599	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich
Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14+43052	15.0	Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14	15-06-10_Abstract-Zusammenhang-Einleitung-Forschungsstand_52-14-99_WB06.txt	ich	43052	43055	Forscher-Ich	None	None	None
Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14+81746	16.0	Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14	15-06-10_Abstract-Zusammenhang-Einleitung-Forschungsstand_52-14-99_WB06.txt	Ich	81746	81749	SB-Ich	None	None	None
Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14+81884	17.0	Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14	15-06-10_Abstract-Zusammenhang-Einleitung-Forschungsstand_52-14-99_WB06.txt	Ich	81884	81887	SB-Ich	None	None	None
Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14+82174	18.0	Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14	15-06-10_Abstract-Zusammenhang-Einleitung-Forschungsstand_52-14-99_WB06.txt	ich	82174	82177	SB-Ich	None	None	None
Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14+82227	19.0	Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14	15-06-10_Abstract-Zusammenhang-Einleitung-Forschungsstand_52-14-99_WB06.txt	ich	82227	82230	SB-Ich	None	None	None
Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14+83779	20.0	Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14	15-06-10_Abstract-Zusammenhang-Einleitung-Forschungsstand_52-14-99_WB06.txt	ich	83779	83782	SB-Ich	None	None	None
Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14+85157	21.0	Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14	15-06-10_Abstract-Zusammenhang-Einleitung-Forschungsstand_52-14-99_WB06.txt	Ich	85157	85160	SB-Ich	None	None	None
Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14+85676	22.0	Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14	15-06-10_Abstract-Zusammenhang-Einleitung-Forschungsstand_52-14-99_WB06.txt	ich	85676	85679	SB-Ich	None	None	None
Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14+85912	23.0	Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14	15-06-10_Abstract-Zusammenhang-Einleitung-Forschungsstand_52-14-99_WB06.txt	ich	85912	85915	SB-Ich	None	None	None
Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14+86439	24.0	Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14	15-06-10_Abstract-Zusammenhang-Einleitung-Forschungsstand_52-14-99_WB06.txt	Ich	86439	86442	SB-Ich	None	None	None
Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14+86672	25.0	Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14	15-06-10_Abstract-Zusammenhang-Einleitung-Forschungsstand_52-14-99_WB06.txt	ich	86672	86675	SB-Ich	None	None	None
Abstract_15-10-22_12-10-45_WB06+104	13.0	Abstract_15-10-22_12-10-45_WB06	15-10-22_Abstract_12-10-45_WB06.txt	Ich	104	107	SB-Ich	Forscher-Ich	SB-Ich	SB-Ich
Abstract_15-10-22_12-10-45_WB06+167	14.0	Abstract_15-10-22_12-10-45_WB06	15-10-22_Abstract_12-10-45_WB06.txt	Ich	167	170	SB-Ich	Verfasser-Ich*	SB-Ich	SB-Ich
Abstract_15-10-22_12-10-45_WB06+192	15.0	Abstract_15-10-22_12-10-45_WB06	15-10-22_Abstract_12-10-45_WB06.txt	ich	192	195	SB-Ich	Verfasser-Ich*	SB-Ich	SB-Ich
Abstract_15-10-22_12-10-45_WB06+32	11.0	Abstract_15-10-22_12-10-45_WB06	15-10-22_Abstract_12-10-45_WB06.txt	ich	32	35	SB-Ich	Forscher-Ich	SB-Ich	SB-Ich
Abstract_15-10-22_12-10-45_WB06+336	16.0	Abstract_15-10-22_12-10-45_WB06	15-10-22_Abstract_12-10-45_WB06.txt	Ich	336	339	SB-Ich	Erzähler-Ich	SB-Ich	SB-Ich
Abstract_15-10-22_12-10-45_WB06+70	12.0	Abstract_15-10-22_12-10-45_WB06	15-10-22_Abstract_12-10-45_WB06.txt	ich	70	73	SB-Ich	Forscher-Ich	SB-Ich	None
