	ID	Text	Text_korr	Span	StartChar	EndChar	Code-annotator1	Code-annotator2	Code-annotator3	Code-annotator4	status	context_before	match	context_after
ABSTRACT_12-01-23_25-16-14_WB06+1659	6.0	ABSTRACT_12-01-23_25-16-14_WB06	12-01-23_ABSTRACT_25-16-14_WB06.txt	ich	1659	1662	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	fullmatch	r Ausgangspunkt meiner Arbeit bildet das „Kafka-Handbuch in zwei Bänden“ herausgegeben von Hartmut Binder. Ausgehend von dessen Untersuchungen möchte 	ich	 in meiner Arbeit auf einige mir wichtig erscheinenden Aspekte näher eingehen. Die Besonderheit in diesen zwei ausgesuchten Erzählungen Kafkas ist, da
ABSTRACT_12-01-23_25-16-14_WB06+2412	7.0	ABSTRACT_12-01-23_25-16-14_WB06	12-01-23_ABSTRACT_25-16-14_WB06.txt	ich	2412	2415	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	fullmatch	In meiner Hausarbeit wird der Leser einen Einblick in die Eigenschaften der Figur des Hungerkünstlers und der Kunstreiterin erhalten. Zunächst möchte 	ich	 Gemeinsamkeiten und Unterschiede  der Künstlerfiguren aufzeigen, diese anhand der Werkanalysen von Norda Gunnar (2005): „Erzähltheoretische Aspekte z
ABSTRACT_12-01-23_25-16-14_WB06+3889	8.0	ABSTRACT_12-01-23_25-16-14_WB06	12-01-23_ABSTRACT_25-16-14_WB06.txt	ich	3889	3892	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	fullmatch	ibt in seinem Werk „Überwachen und Strafen“  über die „bürokratisierten Disziplinierungstechniken in modernen Gesellschaften“. Auf diese These möchte 	ich	 später noch näher eingehen. Die Bühne ist sowohl für die junge Kunstreiterin wie auch für den Hungerkünstler kein Ort wo sie ihre Kreativität frei en
ABSTRACT_12-01-23_25-16-14_WB06+4730	9.0	ABSTRACT_12-01-23_25-16-14_WB06	12-01-23_ABSTRACT_25-16-14_WB06.txt	ich	4730	4733	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	fullmatch	t (Binder 1979). Dieser religiöse Aspekt, der sich auch auf Kafkas Werk „Ein Hungerkünstler“ beziehen soll, stößt auf mehrere Gegenargumente, auf die 	ich	 in meiner Arbeit näher eingehen werde.   Im 19. Jahrhundert gab es in Europa eine Ausstellungsbesonderheit. Tagelang hungerten Menschen in Glaskästen
ABSTRACT_12-01-23_25-16-14_WB06+5596	10.0	ABSTRACT_12-01-23_25-16-14_WB06	12-01-23_ABSTRACT_25-16-14_WB06.txt	ich	5596	5599	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	fullmatch	se ungewöhnlichen Veranstaltungen Einfluss auf Kafkas Künstlerfiguren? Gibt es Parallelen? Auf diesen soziologischen Aspekt der Werkentstehung möchte 	ich	 ebenfalls näher eingehen. Zusammenfassend lässt sich feststellen, dass Franz Kafka Künstler als Protagonisten für seine beiden Erzählungen gewählt ha
Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14+43052	15.0	Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14	15-06-10_Abstract-Zusammenhang-Einleitung-Forschungsstand_52-14-99_WB06.txt	ich	43052	43055	Forscher-Ich	None	None	None	fullmatch	an, dass der Unterschied zwischen den beiden Sprachen nicht deutlich und stattdessen die Ähnlichkeit aufweist. Um die Wiederholung zu vermeiden, gehe 	ich	 hier nur auf die Fälle ein, wo der p-Wert größer als der Standardwert ist. Im Fall, dass der p-Wert kleiner als der Standardwert beträgt, wird hier n
Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14+81746	16.0	Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14	15-06-10_Abstract-Zusammenhang-Einleitung-Forschungsstand_52-14-99_WB06.txt	Ich	81746	81749	SB-Ich	None	None	None	fullmatch	ormulieren Das ist nicht in allen Fächern so. Evtl. auf die Fachkulturen hinweisen bzw. einschränken welche Fächer/welches Fach hier betrachtet wird. 	Ich	 würde hier Kommata zwischen die Teile setzen. Und bite darauf achten, dass nach der Klammer eine Lücke steht. Null-Artikel verwenden. Ich werde dies 
Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14+81884	17.0	Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14	15-06-10_Abstract-Zusammenhang-Einleitung-Forschungsstand_52-14-99_WB06.txt	Ich	81884	81887	SB-Ich	None	None	None	fullmatch	chtet wird. Ich würde hier Kommata zwischen die Teile setzen. Und bite darauf achten, dass nach der Klammer eine Lücke steht. Null-Artikel verwenden. 	Ich	 werde dies im Folgenden nur noch gelb markieren.… generalisierend müsste hier jetzt ein Plural verwendet werden. ist zu vermuten Plural? weisen sie e
Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14+82174	18.0	Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14	15-06-10_Abstract-Zusammenhang-Einleitung-Forschungsstand_52-14-99_WB06.txt	ich	82174	82177	SB-Ich	None	None	None	fullmatch	 weisen sie eine große Ähnlichkeit auf ODER ist zwischen ihnen eine große Ähnlichkeit festzustellen kann man Genres auf Textteile beziehen? Das kenne 	ich	 nicht.  s.o. Wo etwas nicht zusammenpasst, werde ich zukünftig grün hinterlegen. So formuliert, ist es schon eine Folgerung und keine Fragestellung m
Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14+82227	19.0	Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14	15-06-10_Abstract-Zusammenhang-Einleitung-Forschungsstand_52-14-99_WB06.txt	ich	82227	82230	SB-Ich	None	None	None	fullmatch	hen ihnen eine große Ähnlichkeit festzustellen kann man Genres auf Textteile beziehen? Das kenne ich nicht.  s.o. Wo etwas nicht zusammenpasst, werde 	ich	 zukünftig grün hinterlegen. So formuliert, ist es schon eine Folgerung und keine Fragestellung mehr. Zahlen bis 10 besser ausschreiben: eins… Das ist
