	ID	Text	Text_korr	Span	StartChar	EndChar	Code-annotator1	Code-annotator2	Code-annotator3	Code-annotator4	status	context_before	match	context_after	max_agreement_freq	max_agreement_label
ABSTRACT_12-01-23_25-16-14_WB06+1659	6.0	ABSTRACT_12-01-23_25-16-14_WB06	12-01-23_ABSTRACT_25-16-14_WB06.txt	ich	1659	1662	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	fullmatch	r Ausgangspunkt meiner Arbeit bildet das „Kafka-Handbuch in zwei Bänden“ herausgegeben von Hartmut Binder. Ausgehend von dessen Untersuchungen möchte 	ich	 in meiner Arbeit auf einige mir wichtig erscheinenden Aspekte näher eingehen. Die Besonderheit in diesen zwei ausgesuchten Erzählungen Kafkas ist, da	4	Verfasser-Ich
ABSTRACT_12-01-23_25-16-14_WB06+2412	7.0	ABSTRACT_12-01-23_25-16-14_WB06	12-01-23_ABSTRACT_25-16-14_WB06.txt	ich	2412	2415	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	fullmatch	In meiner Hausarbeit wird der Leser einen Einblick in die Eigenschaften der Figur des Hungerkünstlers und der Kunstreiterin erhalten. Zunächst möchte 	ich	 Gemeinsamkeiten und Unterschiede  der Künstlerfiguren aufzeigen, diese anhand der Werkanalysen von Norda Gunnar (2005): „Erzähltheoretische Aspekte z	4	Verfasser-Ich
ABSTRACT_12-01-23_25-16-14_WB06+3889	8.0	ABSTRACT_12-01-23_25-16-14_WB06	12-01-23_ABSTRACT_25-16-14_WB06.txt	ich	3889	3892	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	fullmatch	ibt in seinem Werk „Überwachen und Strafen“  über die „bürokratisierten Disziplinierungstechniken in modernen Gesellschaften“. Auf diese These möchte 	ich	 später noch näher eingehen. Die Bühne ist sowohl für die junge Kunstreiterin wie auch für den Hungerkünstler kein Ort wo sie ihre Kreativität frei en	4	Verfasser-Ich
ABSTRACT_12-01-23_25-16-14_WB06+4730	9.0	ABSTRACT_12-01-23_25-16-14_WB06	12-01-23_ABSTRACT_25-16-14_WB06.txt	ich	4730	4733	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	fullmatch	t (Binder 1979). Dieser religiöse Aspekt, der sich auch auf Kafkas Werk „Ein Hungerkünstler“ beziehen soll, stößt auf mehrere Gegenargumente, auf die 	ich	 in meiner Arbeit näher eingehen werde.   Im 19. Jahrhundert gab es in Europa eine Ausstellungsbesonderheit. Tagelang hungerten Menschen in Glaskästen	4	Verfasser-Ich
ABSTRACT_12-01-23_25-16-14_WB06+5596	10.0	ABSTRACT_12-01-23_25-16-14_WB06	12-01-23_ABSTRACT_25-16-14_WB06.txt	ich	5596	5599	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	fullmatch	se ungewöhnlichen Veranstaltungen Einfluss auf Kafkas Künstlerfiguren? Gibt es Parallelen? Auf diesen soziologischen Aspekt der Werkentstehung möchte 	ich	 ebenfalls näher eingehen. Zusammenfassend lässt sich feststellen, dass Franz Kafka Künstler als Protagonisten für seine beiden Erzählungen gewählt ha	4	Verfasser-Ich
Aufgaben-Portofolio_15-01-29_21-02-74_SB01+1149	19.0	Aufgaben-Portofolio_15-01-29_21-02-74_SB01	15-01-29_Aufgaben-Portofolio_21-02-74_SB01.txt	ich	1149	1152	Erzähler-Ich	Erzähler-Ich	Erzähler-Ich	Erzähler-Ich	rough_match_10	st und Zweifeln freue ich mich auf das Praktikum. Ich finde es ganz gut praktische Erfahrung so früh wie möglich zu sammeln.    Fragen  Momentan habe 	ich	 keine Frage,  weil ich nicht weiß, was ich  erwarten soll.          1. Selbst-Reflexion zum Lehrerbild        Mentorin: unterstützen / fördern / bera	4	Erzähler-Ich
BA-Flucht-und-Migration_16-10-03_07-22-61_SB02+2265	99.0	BA-Flucht-und-Migration_16-10-03_07-22-61_SB02	16-10-03_BA-Flucht-und-Migration_07-22-61_SB02.txt	ich	2265	2268	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	rough_match_15	ingskindern im deutschen Bildungssystem vermeiden lässt. Hierbei werde ich bildungs-und integrationspolitische Erwägungen präsentieren. Hierzu möchte 	ich	 mich mit der Schulsituation der besagten Kinder und Jugendlichen auseinandersetzen und werde mich mit der Relevanz des Spracherwerbs beschäftigen. Be	4	Verfasser-Ich
BA-Flucht-und-Migration_16-10-03_07-22-61_SB02+2433	100.0	BA-Flucht-und-Migration_16-10-03_07-22-61_SB02	16-10-03_BA-Flucht-und-Migration_07-22-61_SB02.txt	ich	2433	2436	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	rough_match_15	chulsituation der besagten Kinder und Jugendlichen auseinandersetzen und werde mich mit der Relevanz des Spracherwerbs beschäftigen. Besonders möchte 	ich	 auch auf die Situation der geflüchteten Kinder und Jugendlichen eingehen und erarbeiten, welche pädagogischen und bildungspolitischen Maßnahmen, dies	4	Verfasser-Ich
BA-Flucht-und-Migration_16-10-03_07-22-61_SB02+2652	101.0	BA-Flucht-und-Migration_16-10-03_07-22-61_SB02	16-10-03_BA-Flucht-und-Migration_07-22-61_SB02.txt	ich	2652	2655	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	rough_match_15	ingehen und erarbeiten, welche pädagogischen und bildungspolitischen Maßnahmen, dieser Bildungsungleichheit entgegensteuern könnten. Einführend werde 	ich	 Fakten zu Flucht-und Migrationsursachen benennen                 • Hintergründer und Motivation → folgt noch ?   2.1. Flucht und Migration   Migratio	4	Verfasser-Ich
BA-Kindergarten_15-05-11_15-23-51_SB20+3665	126.0	BA-Kindergarten_15-05-11_15-23-51_SB20	15-05-11_BA-Kindergarten_15-23-51_SB20.txt	ich	3665	3668	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	fullmatch	ür nutzen, um zu untersuchen in wie weit in den jeweiligen Partnerschaften auf den Aspekt der Elternmiteinbeziehung eingegangen wurde. Konkret möchte 	ich	 mir anschauen welche Ansätze und Konzepte dabei entwickelt und verfolgt wurden, welche Ziele sich die kooperierenden Akteure dabei gesetzt haben und 	4	Verfasser-Ich
